Ward name,New code,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,% All Children aged 0-15 - 2015,% All Working-age (16-64) - 2015,% All Older people aged 65+ - 2015,Rate of JobSeekers Allowance (JSA) Claimants - 2015,Crime rate - 2014/15,Violence against the person rate - 2014/15,"Deliberate Fires per 1,000 population - 2014",% area that is open space - 2014,
City of London,E09000001,650,6250.00,1250.00,8.00,76.90,15.20,1.30,656.40,85.30,0.40,18.60,
Barking and Dagenham - Abbey,E05000026,3850,10150.00,750.00,26.00,69.00,5.00,4.00,138.10,42.20,1.40,21.90,
Barking and Dagenham - Alibon,E05000027,2700,6800.00,1050.00,25.70,64.30,10.00,3.70,73.60,27.30,0.70,20.60,
Barking and Dagenham - Becontree,E05000028,3200,8350.00,1100.00,25.40,65.90,8.70,3.60,79.90,27.60,1.20,1.90,
Barking and Dagenham - Chadwell Heath,E05000029,2550,6400.00,1450.00,24.30,61.50,14.20,3.70,76.10,24.60,1.30,56.00,
Barking and Dagenham - Eastbrook,E05000030,2150,7050.00,1550.00,20.10,65.70,14.20,4.00,66.70,24.50,0.80,50.40,
Barking and Dagenham - Eastbury,E05000031,3000,7750.00,1150.00,25.20,65.20,9.60,3.60,82.20,24.90,0.60,17.10,
Barking and Dagenham - Gascoigne,E05000032,5100,9900.00,850.00,32.00,62.60,5.40,4.10,75.80,20.30,0.90,20.80,
Barking and Dagenham - Goresbrook,E05000033,3000,7250.00,1250.00,25.90,63.20,10.90,3.50,74.80,25.80,0.90,14.10,
Barking and Dagenham - Heath,E05000034,2900,6950.00,1300.00,26.20,62.30,11.50,3.90,83.70,24.20,2.00,36.30,
Barking and Dagenham - Longbridge,E05000035,2600,7850.00,1450.00,21.70,66.00,12.20,2.30,57.00,16.60,0.40,28.30,
Barking and Dagenham - Mayesbrook,E05000036,2850,6550.00,1150.00,26.90,62.10,11.00,3.60,67.90,24.40,0.70,44.80,
Barking and Dagenham - Parsloes,E05000037,2550,6400.00,1100.00,25.20,63.70,11.10,4.10,56.80,19.70,0.90,17.40,
Barking and Dagenham - River,E05000038,3150,7600.00,1200.00,26.50,63.60,9.90,3.40,85.00,29.30,1.30,20.50,
Barking and Dagenham - Thames,E05000039,6150,11850.00,950.00,32.50,62.50,5.00,4.00,95.60,19.80,1.70,43.80,
Barking and Dagenham - Valence,E05000040,2600,6450.00,1150.00,25.50,63.20,11.30,2.50,68.30,18.30,0.20,11.80,
Barking and Dagenham - Village,E05000041,2750,7100.00,1200.00,24.80,64.10,11.10,4.00,90.80,29.80,1.10,47.00,
Barking and Dagenham - Whalebone,E05000042,2650,7200.00,1300.00,23.70,64.50,11.80,2.60,72.40,20.80,0.50,16.00,
Barnet - Brunswick Park,E05000043,3400,11350.00,2800.00,19.50,64.70,15.90,1.70,49.40,12.00,0.10,28.00,
Barnet - Burnt Oak,E05000044,4750,13050.00,1800.00,24.30,66.50,9.10,2.70,68.50,27.00,0.70,18.90,
Barnet - Childs Hill,E05000045,4100,14300.00,2650.00,19.50,67.90,12.60,2.70,90.50,22.30,0.10,15.10,
Barnet - Colindale,E05000046,6100,18550.00,2000.00,22.80,69.70,7.50,3.10,58.90,16.90,0.20,19.80,
Barnet - Coppetts,E05000047,3500,12500.00,2000.00,19.50,69.40,11.10,2.10,75.60,17.10,0.50,40.30,
Barnet - East Barnet,E05000048,3550,11050.00,2550.00,20.60,64.60,14.80,1.90,44.00,13.90,0.10,34.80,
Barnet - East Finchley,E05000049,3250,11300.00,2300.00,19.20,67.10,13.60,1.60,47.50,11.30,0.20,37.80,
Barnet - Edgware,E05000050,4050,10850.00,2750.00,22.90,61.60,15.50,1.60,71.40,17.20,0.20,54.00,
Barnet - Finchley Church End,E05000051,3200,10800.00,2800.00,19.00,64.30,16.60,1.60,52.00,9.20,0.20,13.70,
Barnet - Garden Suburb,E05000052,3450,10500.00,3000.00,20.30,61.90,17.70,1.10,65.10,11.00,0.10,24.20,
Barnet - Golders Green,E05000053,6400,16050.00,2500.00,25.60,64.30,10.10,2.20,61.30,11.30,0.20,14.60,
Barnet - Hale,E05000054,4100,11500.00,2650.00,22.50,63.10,14.40,1.60,46.80,12.20,0.30,48.80,
Barnet - Hendon,E05000055,4150,12800.00,2300.00,21.50,66.50,12.00,1.90,72.60,19.70,0.40,16.40,
Barnet - High Barnet,E05000056,2950,10500.00,2850.00,18.10,64.30,17.60,1.40,56.30,12.60,0.40,47.90,
Barnet - Mill Hill,E05000057,4350,12800.00,2800.00,21.90,64.10,14.00,1.30,62.80,14.70,0.20,59.00,
Barnet - Oakleigh,E05000058,3200,10550.00,2850.00,19.30,63.40,17.30,1.30,49.70,11.70,0.10,15.30,
Barnet - Totteridge,E05000059,3400,10600.00,2900.00,20.20,62.70,17.00,1.00,39.70,9.20,0.20,57.70,
Barnet - Underhill,E05000060,3400,11000.00,2900.00,19.60,63.70,16.70,2.20,57.90,17.80,0.40,43.80,
Barnet - West Finchley,E05000061,3250,11950.00,2300.00,18.60,68.20,13.10,1.50,55.20,14.70,0.20,13.40,
Barnet - West Hendon,E05000062,3950,13100.00,2150.00,20.60,68.20,11.20,2.10,99.90,20.30,0.30,32.00,
Barnet - Woodhouse,E05000063,3500,12650.00,2550.00,18.60,67.60,13.80,1.90,69.30,15.90,0.20,19.30,
Bexley - Barnehurst,E05000064,2000,6600.00,2050.00,18.70,62.00,19.30,1.40,46.50,15.50,0.40,36.00,
Bexley - Belvedere,E05000065,2900,7950.00,1600.00,23.20,63.90,12.90,2.40,62.00,19.80,1.20,33.10,
Bexley - Blackfen and Lamorbey,E05000066,1950,6700.00,2050.00,18.30,62.60,19.10,1.10,28.80,6.90,0.20,9.50,
Bexley - Blendon and Penhill,E05000067,2000,6900.00,2150.00,18.00,62.60,19.50,0.80,37.70,7.60,0.30,13.80,
Bexley - Brampton,E05000068,1750,6350.00,2450.00,16.60,60.10,23.30,0.90,26.30,6.30,0.00,9.10,
Bexley - Christchurch,E05000069,2050,7200.00,2100.00,18.10,63.30,18.60,1.70,97.50,28.50,0.40,17.30,
Bexley - Colyers,E05000070,2550,7150.00,1700.00,22.30,62.70,15.00,2.30,39.50,13.20,0.30,13.00,
Bexley - Crayford,E05000071,2500,7700.00,1750.00,20.90,64.60,14.60,2.00,62.20,17.10,0.80,41.70,
Bexley - Cray Meadows,E05000072,2350,6950.00,2000.00,20.80,61.50,17.70,1.80,54.30,16.40,0.50,61.70,
Bexley - Danson Park,E05000073,2000,7000.00,1950.00,18.30,63.80,18.00,1.20,54.00,15.70,0.60,36.40,
Bexley - East Wickham,E05000074,2000,6850.00,2100.00,18.40,62.40,19.20,1.50,40.50,12.60,0.50,26.80,
Bexley - Erith,E05000075,3200,8100.00,1500.00,25.10,63.30,11.60,2.90,82.30,22.20,1.60,44.60,
Bexley - Falconwood and Welling,E05000076,2000,7100.00,1800.00,18.20,65.20,16.70,1.10,47.70,13.20,0.30,0.70,
Bexley - Lesnes Abbey,E05000077,2300,7250.00,1900.00,20.30,63.30,16.50,2.20,59.80,14.10,1.50,37.00,
Bexley - Longlands,E05000078,1750,6600.00,2250.00,16.40,62.40,21.20,1.20,34.20,9.70,0.30,28.90,
Bexley - North End,E05000079,3150,7450.00,1250.00,26.70,62.70,10.60,3.90,81.20,27.20,2.40,65.30,
Bexley - Northumberland Heath,E05000080,2100,6800.00,1800.00,19.50,63.60,16.90,1.80,42.10,12.00,0.70,13.60,
Bexley - St. Mary's,E05000081,1850,6300.00,2350.00,17.70,59.90,22.40,0.80,33.20,7.90,0.60,46.80,
Bexley - St. Michael's,E05000082,2300,7200.00,1750.00,20.40,64.00,15.60,1.20,30.00,11.30,0.00,5.90,
Bexley - Sidcup,E05000083,1750,7050.00,2200.00,15.90,64.20,19.90,1.30,50.50,14.80,0.20,25.80,
Bexley - Thamesmead East,E05000084,3500,8100.00,950.00,27.80,64.80,7.40,3.70,54.90,19.70,0.70,70.50,
Brent - Alperton,E05000085,3050,10750.00,1550.00,19.80,70.10,10.10,2.00,69.10,21.20,0.30,17.70,
Brent - Barnhill,E05000086,3400,10850.00,2000.00,20.90,66.70,12.40,2.70,64.70,21.40,0.10,31.60,
Brent - Brondesbury Park,E05000087,2350,9250.00,1700.00,17.80,69.60,12.60,2.30,70.80,16.10,0.50,9.70,
Brent - Dollis Hill,E05000088,3300,8700.00,1650.00,24.10,63.70,12.20,3.80,67.30,22.80,0.20,26.60,
Brent - Dudden Hill,E05000089,3350,10750.00,1700.00,21.20,68.10,10.70,4.10,88.20,30.20,0.30,11.60,
Brent - Fryent,E05000090,2900,9450.00,1800.00,20.50,66.80,12.70,1.60,58.40,18.10,0.40,39.30,
Brent - Harlesden,E05000091,4750,11150.00,1550.00,27.30,63.80,9.00,8.50,100.30,37.90,0.20,8.90,
Brent - Kensal Green,E05000092,3200,10350.00,1550.00,21.10,68.70,10.20,5.80,86.60,31.80,0.00,6.90,
Brent - Kenton,E05000093,2050,8150.00,2350.00,16.20,65.00,18.80,1.60,51.30,11.10,0.40,17.00,
Brent - Kilburn,E05000094,3400,12500.00,1650.00,19.50,71.10,9.40,4.70,79.30,27.10,0.20,11.10,
Brent - Mapesbury,E05000095,2750,11750.00,1500.00,17.20,73.40,9.40,3.90,71.80,21.30,0.40,9.60,
Brent - Northwick Park,E05000096,2150,9350.00,1800.00,16.00,70.30,13.70,1.70,64.70,19.20,0.20,32.00,
